Numero di iscrizione all'albo,Denominazione,Data iscrizione,Numero delibera,Data cessazione,Municipalità,Attività,Scopo / intenti,Indirizzo,Email,Sito web,Presidente,Data domanda,Protocollo domanda,Telefono,Fiscale codice,Iva partita
2044,SRI LANKA A VENEZIA,10-06-02,104,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,"Riunire i cuochi veneziani, gli allievi dei corsi di cucuna per attività culturali-gastronomiche",Via Gazzera Alta 102 30174 - Mestre - Venezia,,,Favaretto Franco,14-05-02,PG/2002/184405,,3313700274,0
2045,CULTURALE STORICA VENEZIANA,10-06-02,104,,MESTRE CARPENEDO,Cultura,"Riunisce i sri lankesi ed i loro familiari per favorirne lunità, per promuovere la cooperazione per aiutarli a risolvere i vari problemi derivanti dai rapporti con la realtà italiana",Castello 8/G 30122 - Venezia,,,Kuranage P. Roland,28-01-02,PG/2002/36777,3493437739,94052390278,0
2046,G.S. MORIN,10-06-02,104,,CHIRIGNAGO ZELARINO,Sport,"Promuove sfilate storiche, musica e canti popolari",Via Guido Cavalcanti 11 30174 - Mestre - Venezia,,,Bonometto Bruno,05-06-02,PG/2002/217492,,9010104278,0
2047,MARGHERA VENEZIA NEW YORK,10-06-02,104,,LIDO PELLESTRINA,Cultura,Contribuisce allo sviluppo sportivo e civile dei soci e dei cittadini ed alla sempre più ampia diffusione della democrazia e della solidarietà nei rapporti umani,Via Asseggiano 39 30174 - Mestre - Venezia,,,Scattolin Giuliano,22-02-02,PG/2002/79790,,90097220272,0
2048,VIVERE VENEZIA,10-06-02,104,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,"Promuovere attività di carattere culturale, adoperandosi alla tutela, alla ricerca ed allo sviluppo dellarte, della letteratura, del teatro, della musica",Via della Droma 99 30126 - Lido - Venezia,,,Bortoli Giorgio,26-04-02,PG/2002/162782,,,3356790273
2049,TANGO PARA SEMPRE,10-06-02,104,,MESTRE CARPENEDO,Cultura,"Promuovere e realizzare iniziative il cui obiettivi sia sociale e ricreativo nelle tradizioni veneziane, contribuendo affinchè i cittadini possano vivere la loro città",Santa Croce 1489/I 30135 - Venezia,,,Busato Bruno,,PG/0/0,,94052810275,0
2050,CODESS SOCIALE ONLUS,10-06-02,104,,MESTRE CARPENEDO,Solidarietà / Promozione sociale,Promuovere lo sviluppo di attività culturali e ricreative legate a tutte le forme artistiche ed in particolare allo studio ed alla ricerca sul tango argentino,Via Armando Diaz 11 30173 - Mestre - Venezia,,,Costantini Davide,19-04-02,PG/2002/155346,,90091710278,0
2051,ASSOCIAZIONE LIBERTÀEGUALE,10-06-02,104,,LIDO PELLESTRINA,Cultura,"Persegue linteresse generale della comunità, della promozione umana e dellintegrazione sociale dei cittadini",Corte Bettini 17 30174 - Mestre - Venezia,,,Omodel Luca,04-07-02,PG/2002/258042,41982973,3174760276,0
2052,ASSOCIAZIONE IL PICCOLO PRINCIPE,10-06-02,104,,CHIRIGNAGO ZELARINO,Solidarietà / Promozione sociale,"Si propone la diffusione e la conoscenza delle culture riformiste italiane, europee e internazionali",Via Alessandro Paganino 89 30126 - Lido - Venezia,,,Carnevale Giancarlo,12-07-02,PG/2002/270233,041770766 fax 1782276557,94053090273,0
2053,ASSOCIAZIONE ARTE PER STRADA,10-06-02,104,,VENEZIA MURANO BURANO,Cultura,"Ha per scopo la promozione umana nellambito culturale e sociale, proponendosi di unire con i vincoli dellamicizia, della solidarietà quanti di essa fanno parte",Via Guglielmo Ciardi 3 30174 - Mestre - Venezia,ilpiccoloprincipe@interfree.it,,Niero Attilio,04-06-02,PG/2002/214185,,90100880278,0
2054,A.S.D. VENEZIA FOOTBALL ACADEMY,10-06-02,104,,MESTRE CARPENEDO,Sport,"Promuovere il turismo, larte, favorire ed organizzare manifestazioni culturali, attuare servizi e strutture per lo svolgimento delle attività culturali e turistiche",Cannaregio 6281 30121 - Venezia,,,Gorini Gianfranco,28-06-02,PG/2002/249691,412960465,94053110279,0
2055,ASSOCIAZIONE COSTRUIAMO INSIEME ONLUS,10-06-02,104,,MESTRE CARPENEDO,Assistenza,"Per oggetto esclusivo lesercizio di attività sportive ed in particolare la formazione, la preparazione e la gestione di squadre di calcio",PIAZZETTA GIORDANO BRUNO 23 30174 - Mestre - Venezia,info@veneziafootballacademy.it,,Alessandro Piovesan,10-07-02,PG/2002/266891,,3396930277,0
2056,FUTORE YOGA SCHOOL,07-10-02,104,,VENEZIA MURANO BURANO,Sport,"Promuovere lintegrazione lavorativa, socio culturale, sociale, la tutela dei diritti civili ecc. tra stranieri ed italiani",Via San Donà 73 30174 - Mestre - Venezia,,,Parfeni Ala,01-07-02,PG/2002/251561,,90101520279,0
2057,REMIERE PUNTA SAN GIOBBE,07-10-02,169,,VENEZIA MURANO BURANO,Sport,Studio e pratica dello yoga,San Marco 5043 30124 - Venezia,,,Riato Neri,25-07-02,PG/2002/288736,,94049160271,0
2058,CULTURALE CAMERATA MARCIANA,07-10-02,169,,LIDO PELLESTRINA,Cultura,"Promuovere e tutelare la voga alla veneta, il canottaggio, tutte le discipline di voga sportiva e della vela",Cannaregio 995/A 30121 - Venezia,,,Cristante Gianfranco,30-07-02,PG/2002/293849,,94051090275,0
2059,CULTURALE MURATA GIOVANI,07-10-02,169,,MESTRE CARPENEDO,Cultura,Ricerca e valorizzazione del patrimonio musicale di ogni epoca e stile,Via Jacopo Nani 20 30126 - Lido - Venezia,,,Valmarana Maurizio,07-08-02,PG/2002/305350,,94053500271,0
2060,C.S.I. MESTRE FUTUSAL,07-10-02,169,,,Sport,"Approfondimento e diffusione attività artistiche quali il teatro, la recitazione e la musica",Via Giordano Bruno 19 30174 - Mestre - Venezia,,,Flotta Jacopo,02-08-02,PG/2002/299372,,3381260276,0
2061,BASKET '98,07-10-02,169,,,Sport,Valorizzare in ambito agonistico le migliori valenze tecniche espresse dal comitato C.S.I. di Venezia,Piazzatta Undici Febbraio 4/5 30171 - Mestre - Venezia,,,Bidona Mariano,14-08-02,PG/2002/312761,,90102400273,0
2062,URBANLAB,07-10-02,169,,MARGHERA,Cultura,"Propagandare, promuovere, sviluppare la pratica dello sport della pallacanestro",Viale Galileo Galilei 30/1 30173 - Mestre - Venezia,,,Ballarin Massimo,26-08-02,PG/2002/321788,,3260720275,0
2063,PASO LIBRE,07-10-02,169,,MESTRE CARPENEDO,Cultura,Promuovere e diffondere la ricerca e le pratiche della cultura e dellarte,Via dellAtomo 8 30175 - Marghera - Venezia,,,Caldura Riccardo,29-08-02,PG/2002/326710,,94053740273,0
2064,PIRAGHETTO INSIEME,07-10-02,169,,MESTRE CARPENEDO,Solidarietà / Promozione sociale,Pratica e diffusione delle arti e della cultura,Via Paolo Paruta 36/5 30173 - Mestre - Venezia,,,Cicero Carla,06-09-02,PG/2002/337140,,90102490274,0
2065,CULTURALE ROOTS,07-10-02,169,,CHIRIGNAGO ZELARINO,Cultura,Promuovere socialità e partecipazione e contribuire alla crescita culturale e civile dei soci e della comunità,Via Gazzera Alta 74/A 30171 - Mestre - Venezia,,,Quagliato Silvio,10-09-02,PG/2002/340768,415060840,90100380279,0
2066,CLUB MALVASIA VECCHIA,07-10-02,169,,VENEZIA MURANO BURANO,Cultura,Divulgare la cultura musicale in ogni sua forma ed espressione,Via Gazzera Alta 78 30174 - Mestre - Venezia,,,Garzara Stefano,09-09-02,PG/2002/338635,,90099770274,0
2067,VINCERE IL MOBBING,07-10-02,169,,,Solidarietà / Promozione sociale,"Promozione della musica in tutte le sue forme, la pittura, la fotografia e tutto ciò che è arte in genere",San Marco 2586 30124 - Venezia,,,Bittante Davide,13-09-02,PG/2002/345616,,94049150272,0
2068,LE ARTI,07-10-02,169,,VENEZIA MURANO BURANO,Cultura,"Valorizzare ed assistere la persona tutelandone il benessere, la salute psicofisica e la sicurezza nel posto di lavoro",Viale Venezia 7 30171 - Mestre - Venezia,,,Gatto Luigino,23-03-02,PG/2002/284085,,90101540277,0
2069,ASSOCIAZIONE CULTURALE ITALO UNGHERESE DEL TRIVENETO,07-10-02,169,,VENEZIA MURANO BURANO,Cultura,Promozione e organizzazione di attività artistico-culturale,San Marco 5043 30124 - Venezia,,,Diaz Giovanni,18-07-02,PG/2002/278915,,94053490275,0
2070,ARTI ESPRESSIVE,07-10-02,169,,MARGHERA,Cultura,"Favorire la conoscenza della realtà sociale, storica e culturale ungherese ed italiana",Santa Croce 510 c/o Consolato Gen. On. di Ungheria 30135 - Venezia,ungheria.venezia@libero.it,,Szabò Katalin,02-09-02,PG/2002/329160,415239408,94041380273,0
2071,TANGO ACTION,07-10-02,169,,VENEZIA MURANO BURANO,Sport,"Promuovere lo studio e la ricerca di nuove forme di comunicazione attraverso le potenzialità espressive, creative delluomo nellambito del linguaggio del corpo",Via Mattei 6/2 30175 - Marghera - Venezia,,,Busolin Marilena,19-09-02,PG/2002/353749,,90068110270,0
2072,BODY WORLD,07-10-02,169,,VENEZIA MURANO BURANO,Sport,"Favorire lo sviluppo sportivo, culturale, ecc. con riferimento alle attività di danza in genere, corso di tango ecc.",Santa Croce 1386 30135 - Venezia,,,Perre Caterina,30-04-02,PG/2002/167120,,90087280278,0
2073,IMPERIAL DANCE SPORT,07-10-02,169,,CHIRIGNAGO ZELARINO,Sport,"Promuovere, sviluppare e organizzare ogni attività sportiva, culturale e ricreativa",Santa Croce 2196/A 30135 - Venezia,,,Andreose Luciano,16-09-02,PG/2002/347097,,94039070274,0
2074,GRUPPO ANZIANI AUTOGESTITO LIDO DUE,07-10-02,169,,LIDO PELLESTRINA,Solidarietà / Promozione sociale,"Promozione, diffusione, coordinamento, pratica delle specialità sportive organizzata dalla fed. ital. danza sportiva",Via Castellana 155/B c/o Tatiano Giusto 30174 - Mestre - Venezia,,,Tatiano Giusto,10-06-02,PG/2002/221903,,90098370274,0
2075,ENGRAMMA,07-10-02,169,,VENEZIA MURANO BURANO,Cultura,"Realizzare forme di socialità, solidarietà, mobilità tra i propri iscritti combattento le possibili forme di emarginazione e isolamento",Via Nicola Jenson 16 30126 - Lido - Venezia,,,Fabbris Luciano,20-09-02,PG/2002/354924,,94053960277,0
2076,OLOKAUSTOS ONLUS,07-10-02,169,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,Si Promuove di studiare i meccanismi di trasmissione della tradizione classica nella cultura occidentale,San Polo 1424 c/o Centanni Monica 30125 - Venezia,,,Centanni Monica,05-07-02,PG/2002/260549,,94051700279,0
2077,ROSA LUXEMBURG,07-10-02,169,,VENEZIA MURANO BURANO,Cultura,"Promuovere lo studio dei fenomeni di discriminazione e razzismo, ecc.",Cannaregio 3527 30121 - Venezia,,,De Martis Giovanni,02-10-02,PG/2002/371427,,94052520270,0
2078,CENTRO MUSICA,07-10-02,169,,VENEZIA MURANO BURANO,Cultura,"Organizzare iniziative, servizi, attività culturali, sportive  ecc.",Cannaregio 2804 30121 - Venezia,,,Zaccaria Angelo,01-10-02,PG/2002/368627,,94033570279,0
2079,NAZIONALE PER LA LOTTA CONTRO L'AIDS,07-10-02,169,31-03-17,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,"Promuovere, gestire attività culturali, turistiche, ricreative ecc.",Cannaregio 3570 30121 - Venezia,,,Begotti Rossana,04-10-02,PG/2002/375318,,94054090272,0
2080,LIBERO DIVERS,16-12-02,,,MESTRE CARPENEDO,Sport,,,,,,,,,,
2081,CENTRO CULTURALE SCOLETTA S.LORENZO GIUSTINIANI,16-12-02,200,,CHIRIGNAGO ZELARINO,Solidarietà / Promozione sociale,"Promuovere la conoscenza degli sport acquatici, dei principi dellecologia, della ricerca subacquea archeologica e biologica",Via Aleardo Aleardi 104/106 30174 - Mestre - Venezia,,,Laggia Michele,19-03-02,PG/2002/113444,,90096710273,0
2082,A.PRO.VE. (PÈR LA PROMOZIONE DI VENEZIA),16-12-02,200,,LIDO PELLESTRINA,Solidarietà / Promozione sociale,Promozione di attività finalizzate al perseguimento dellinteresse generale della collettività alla promozione umana ed allintegrazione sociale dei cittadini,Via Guglielmo Ciardi 3 30174 - Mestre - Venezia,,,Lazzari Riccardo,17-10-02,PG/2002/392489,41940839,90102980274,0
2083,POOL GESTIONE IMPIANTI SPORTIVI TERRE PERSE,16-12-02,200,17-07-06,LIDO PELLESTRINA,Sport,"Promuovere e sviluppare Venezia e le isole della laguna, in specie quella del Lido ecc.",Via L.Zene 2 - Casella Postale 17 30126 - Lido - Venezia,,,Valsecchi Giovanni,11-10-02,PG/2002/384973,,3360750271,0
2084,MATRIOSCA ONLUS,16-12-02,,,CHIRIGNAGO ZELARINO,Solidarietà / Promozione sociale,,,,,,,,,,
2085,DIECIMENODIECI,16-12-02,200,,VENEZIA MURANO BURANO,Cultura,Assistenza alla gravidanza e alla nascita tutelando la salute ed il benessere psicofisico dellunità madre bambino ecc.,Via Miranese 255 c/o Soges 30174 - Mestre - Venezia,,,Marcomin Stefania,20-09-02,PG/2002/355533,,90088520276,0
2086,SPORTIVA PIERA ALTA,16-12-02,200,,VENEZIA MURANO BURANO,Sport,"Operare nei diversi ambiti artistici e sociali; promuovere e sostenere lambito delle arti; contribuire alla crescita umana, artistica e culturale dei soci ecc.",Castello 1919 30122 - Venezia,,,Chiarenza Pietro,31-10-02,PG/2002/412209,,94054230274,0
2087,CULTURALE ESCRACHE,16-12-02,200,,MESTRE CARPENEDO,Cultura,"Promuovere e sviluppare attività sportive dilettantistice, organizzare corsi di avviamento ad attività culturali; organizzare squadre sportive; ecc.",San Polo 1726 30125 - Venezia,,,Giuntarelli Simonetta,06-11-02,PG/2002/419181,,94052830273,0
2088,CONSORMARE,16-12-02,200,,MESTRE CARPENEDO,,"Progettazione, produzione, promozione e diffusione attività teatrali",Via Giuseppe Verdi 33 30171 - Mestre - Venezia,,,Mangini Sandra,06-11-02,PG/2002/418496,,90103210275,0
2089,A.S.B.I. AREA DI STUDIO PER LE BIOTERAPIE INTEGRATE,16-12-02,200,,MESTRE CARPENEDO,Cultura,Promuove la diffusione della cantieristica veneta e degli accessori nautici.,Via Volturno 6/c 30173 - Mestre - Venezia,,,Dalla Pietà Giannino,05-11-02,PG/2002/416360,415352434,,1965640277
2090,EL FELZE,16-12-02,200,,VENEZIA MURANO BURANO,Cultura,"Amplia e diffonde la conoscenza e la pratica di molteplici metodi naturali quali la Riflessologia la Naturopatia, il Dreanggio Naturale etc. etc.",Via Fapanni 37 30174 - Mestre - Venezia,,,Cazzagon Massimo,13-11-02,PG/2002/428852,,90102710275,0
2091,CENTRO ITALIANO STUDI AIDS  - VOLONTARIATO CISAIDS ONLUS,16-12-02,200,31-03-17,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,"Sostiene mestieri che contribuiscono alla costruzione della gondola, dei suoi arredi, addobbi e degli accessori indispensabili alla professione di gondoliere.",San Marco 430 30124 - Venezia,,,Pastor Saverio,17-10-02,PG/2002/392957,0415200331 - 0415230558,94053690270,0
2092,ASSOCIAZIONE ARTISTICO - CULTURALE PROYECTO 1,16-12-02,,,VENEZIA MURANO BURANO,Cultura,,,,,,,,,,
2093,PARROCCHIA SANTA MARIA ELISABETTA,16-12-02,200,,LIDO PELLESTRINA,,"Sviluppa attività di tipo tersicoreo, fra le quali la danza classica, il balletto ed in genere ogni tipo di danza.",Santa Croce 1271/b 30135 - Venezia,,,Vianello Silvia,07-11-02,PG/2002/420499,,94053480276,0
2094,GRUPPO TEOSOFICO DI VENEZIA,16-12-02,200,,VENEZIA MURANO BURANO,Cultura,,Via Cerigo 2 30126 - Lido - Venezia,,,Capovilla Nandino,03-12-02,PG/2002/457480,415268550,94011330274,0
2095,A.C. VENICE C/5,16-12-02,200,,MESTRE CARPENEDO,Sport,"Approfondisce attraverso studi e ricerche a livello nazionale ed internazionale, il pensiero filosofico-teosofico",SantEufemia 681/a 30133 - Venezia,,,de Grandis Marina,02-12-02,PG/2002/454714,415210019,94054330272,0
2096,AMICI DEL CUORE - ASSOCIAZIONE DI VOLONTARIATO ONLUS,16-12-02,200,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,Favorisce la pratica e la divulgazione dello sport dellattività del calcio a 5,Via Altobello 8/b 30174 - Mestre - Venezia,,,Barusco Alessandro,10-09-02,PG/2002/341197,,3337530277,0
2097,ASSOCIAZIONE CULTURALE ARTHUR RUBINSTEIN,16-12-02,200,,VENEZIA MURANO BURANO,Cultura,"Promuove incontri, e iniziative sia culturali che ricreative sul tema dlla salute del cuore e delle cardiopatie.",Ospedale Civile SS Giovanni e Paolo 30122 - Venezia,info@amicidelcuorevenezia.org,www.amicidelcuorevenezia.org,Lazzari Renato,04-12-02,PG/2002/459865,415295506,94053280270,
2098,ASSOCIAZIONE MARIA CALLAS,16-12-02,200,,VENEZIA MURANO BURANO,Cultura,Promuove la diffusione e la conoscenza del patrimonio artistico di Arthur Rubinstein.,San Marco 2919 30124 - Venezia,,,Tosi Bruno,10-12-02,PG/2002/469998,,,297517027
2099,FI.DA.PA. (FED ITALIANA DONNE ARTI PROFESSIONI AFFARI),16-12-02,200,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,Promuove la diffusione della conoscenza e la conservazione del patrimonio artistico della cantante Maria Callas.,San Marco 2919 30124 - Venezia,,,Tosi Bruno,10-12-02,PG/2002/470013,,2828690277,0
2100,ASSOCIAZIONE SOCIO-CULTURALE PUNTO CRITICO,16-12-02,200,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,"Promuove, coordina e sostiene le iniziative delle donne che operano nel campo delle arti e delle professionii.",Cannaregio 6057 30121 - Venezia,,,Tavellin Bianchi M.Paola,19-11-02,PG/2002/437737,,94022380276,0
2101,ASSOCIAZIONE RESEARCHING MOVIE CANTIERE ATTIVIÀ CULTURALI,16-12-02,200,,LIDO PELLESTRINA,Cultura,"Organizza, promuove e sviluppa attività di carattere sociale e culturale, nonchè la realizzazione di progetti ed iniziative.",Cannaregio 2592 30121 - Venezia,,,Novaga Arianna,13-12-02,PG/2002/476392,415241854,94054010270,0
2102,SKATING MESTRE,10-02-03,200,,MESTRE CARPENEDO,Sport,"Promuove, sviluppa e diffonde la conoscenza, lapprendimento ed il perfezionamento dellarte cinematografica in tutti i suoi generi e tecniche strumentali.",Lungomare Marconi 68 30126 - Lido - Venezia,,,Della Chiesa Emilio,04-12-02,PG/2002/460755,415262623,92149640283,0
2103,ASIA - (ATTIVITÀ PER IL SOSTEGNO DI INVALIDI ED ANZIANI),10-02-03,21,,MESTRE CARPENEDO,Assistenza,Far conoscere ed esercitare lo sport del pattinaggio a rotelle nelle varie discipline,Via Tevere 91 30174 - Mestre - Venezia,skatingmestre@email.it,,Turcati Giuseppina,20-12-02,PG/2002/87525,41613322,90014200274,3354660270
2104,ASSOCIAZION ARGENTINA DEL VENETO,10-02-03,21,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,Assistenza agli anziani in tutte le sue forme,Via Giovanni Felisati 38 30174 - Mestre - Venezia,,,Cazzin Claudia,12-12-03,PG/2002/475119,,3389470273,0
2105,VERSO LA PRODUZIONE AUTONOMA-CENTRO STUDI PER UNA NUOVA ETICA ECONOMICA,10-02-03,21,,FAVARO VENETO,Cultura,"Attività nel settore dellassistenza sociale, della tutela dei diritti civili e della formazione",Dorsoduro 2312 30123 - Venezia,,,Reynerio Alberto Jmenez,09-01-02,PG/2003/7494,,94054530277,0
2106,AIKIKAI MESTRE,10-02-03,21,,VENEZIA MURANO BURANO,Sport,Studiare e diffondere la cultura della produzione autonoma,Via Monte Cengio 9 30173 - Favaro Veneto - Venezia,,,Giaretta Federico,09-01-03,PG/2003/7960,,90104430278,0
2107,DIADA LABORATORIO ONLUS,10-02-03,21,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,"Promuovere, studiare, diffondere, in forma autonoma e democratica, laikido e il patrimonio culturale, spirituale e filosofico delle civiltà orientali",Dorsoduro 2059 30123 - Venezia,info@aikikaimestre.it,,Conventi Alberto,20-11-02,PG/2002/439384,415238815,94053810274,0
2108,CENTRO PER LO STUDIO E LA TUTELA DEI BENI CULTURALI,10-02-03,21,,LIDO PELLESTRINA,Cultura,"Opera nel campo sociale, culturale ed integrativo per promuovere attività didattico-creative, ginnico, culturali al fine di stimolare un corrett osviluppo psico-socialedei soggetti a rischio",Castello 232 30122 - Venezia,,,Gabbrielli Olga,23-01-02,PG/2003/31062,415230011,90098800270,0
2109,PICCOLO CORO,10-02-03,21,,MARGHERA,Cultura,"Attività relativa alla raccolta di documenti studio, ricerca e indagini volti allo sviluppo della tematica dei beni culturali",Lungomare Marconi 53/20 30126 - Lido - Venezia,,,Pilo Giuseppe Maria,22-01-03,PG/2003/28682,,94015060307,0
2110,PANATHLON INTERNATIONAL CLUB DI MESTRE,10-02-03,21,,CHIRIGNAGO ZELARINO,Sport,Promuovere e gestire attività culturali ecc. correlate nellambito musicale,Via Mameli 26 c/o Martella Elio 30175 - Marghera - Venezia,,,Vianello Giancarlo,28-01-03,PG/2003/37449,,90103870276,0
2111,COMITATO AMICI SAN GIROLAMO,10-02-03,21,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,Affermazione dellideale sportivo e dei suoi valori morali e culturali quale strumento di trasformazione ed elevazione della persona e di solidarietà tra gli uomini ed i popoli,Via del Gazzato 4 c/o Coni Provinciale 30174 - Mestre - Venezia,segreteria@panathlonmestre.it,,Chinellato Giorgio,28-11-02,PG/2002/449902,3391384522,90103720273,4072150271
2112,COMITATO ABITANTI SAN GIOBBE,10-02-03,21,,VENEZIA MURANO BURANO,Protezione civile,"Ripristinare, in collaborazione con enti e società sportive, manifestazioni del sestiere di Cannaregio",Cannaregio 3006 30121 - Venezia,,,Libera Gianni,31-01-03,PG/2003/43685,3475314973,94054790277,0
2113,ASCI STUDI (SOCIO-CULTURALE INTERNAZIONALE DEGLI STUDI),10-02-03,21,,MESTRE CARPENEDO,Cultura,"Rappresentare gli interessi ed i bisogni degli abitanti e degli operatori residenti o domiciliati nella zona di S.Giobbe, insula della Crea nel sestiere di Cannaregio",Cannaregio 740/A c/o Bertolini Maria Antonietta 30121 - Venezia,,,Fangareggi Franco,23-01-03,PG/2003/30699,,94054900272,0
2114,ASCI-ARCHITETTURA (SOCIO-CULTURALE INTERNAZIONE PER ARCHITETTURA),10-02-03,21,,MESTRE CARPENEDO,Cultura,"Promuovere la formazione a tutti i livelli, promuovere la cultura, le attività sportive ecc.",Corso del Popolo 81 30172 - Mestre - Venezia,,,Tepelena Andi,19-12-02,PG/2002/485897,,9010320273,0
2115,ANDALUSIA (SOCIO-CULTURALE D'ORIENTE E D'OCCIDENTE),10-02-03,21,,MESTRE CARPENEDO,Cultura,"Promuovere la formazione a tutti i livelli, promuovere la cultura dellarchitettura, promuovere attività sportive ecc.",Corso del Popolo 81 30172 - Mestre - Venezia,,,Moussa Mohammad,19-12-02,PG/2002/485882,,90103220274,0
2116,DALLA GUERRA ALLA PACE - FORTE ALLA GATTA,10-02-03,21,,CHIRIGNAGO ZELARINO,Tutela dell'ambiente,"Contribuire allo sviluppo culturale e civile dei cittadini, alla diffusione della musica, danza ecc.",Corso del Popolo 81 30172 - Mestre - Venezia,,,Ruffin Silvia,19-12-02,PG/2002/485869,,90093560275,0
2117,B.COME VENICE,10-02-03,21,,VENEZIA MURANO BURANO,Cultura,Recupero architettonico e funzionale ad uso pubblico del forte Mezzacapo situato in località Gatta a Zelarino,Via delle Driadi 7 30174 - Mestre - Venezia,info@fortemezzacapo.com,,Ferrarese Silvana,02-01-03,PG/2003/76,,90104300273,0
2118,A.S.D REMIERA SERENISSIMA,10-02-03,21,,VENEZIA MURANO BURANO,Sport,Promuovere attività di carattere culturare atte a favorire la conoscenza e laccesso al mercato dellarte contemporanea di nuove generazioni di artisti ed appassionati,San Marco 5043 30124 - Venezia,,,Rampini Paola,04-02-03,PG/2003/49123,,3430110274,0
2119,COMITATO PER LA TUTELA DELL'AMBIENTE E LA QUALITÀ DELLA VITA,10-02-03,21,,VENEZIA MURANO BURANO,Tutela dell'ambiente,"Diffondere, promuovere e propagandare la disciplina della voga veneta",Cannaregio 3161 30121 - Venezia,info@remieraserenissima.com,,Alberto Scarpa Olivi,14-01-02,PG/2003/14222,3386835323,94010530270,0
2120,NASCEVENEZIA,14-04-03,21,,MESTRE CARPENEDO,Solidarietà / Promozione sociale,"Tutelare il centro storico di Venezia dallinquinamento acustico e dal deterioramento, tutelare la salute dei cittadini del centro storico di Venezia ecc.",Dorsoduro 3062/A 30123 - Venezia,,,Scapinelli Orsina,17-12-02,PG/2002/481165,,94054720274,0
2121,BISM,14-04-03,50,,CHIRIGNAGO ZELARINO,Cultura,"Promuovere e sviluppare attività sociali, culturali dedicate in particolare alla realtà del Comune di Venezia ed ai problemi dellinfanzia",Via Piave 64/2-3 c/o studio professionale 30171 - Mestre - Venezia,,,Chemollo Alessandra,16-12-02,PG/2002/477935,,94052150276,0
2122,PARROCCHIA SAN GIOVANNI EVANGELISTA,14-04-03,50,,MESTRE CARPENEDO,Solidarietà / Promozione sociale,Promuovere socialità a partecipazione e contribuire alla crescita culturale e civile realizzando attività creative,Via dei Salesiani 15 30174 - Mestre - Venezia,,,Miatto Natalino,27-01-03,PG/2003/35125,,90104470274,0
2123,SAMARCANDA COMPLESSO ETNICO MUSICALE,14-04-03,50,,MESTRE CARPENEDO,Cultura,"Attività di solidarietà, promozione sociale ed assistenza",Via Rielta 37/A 30174 - Mestre - Venezia,,,Dainese Giovanni,20-01-03,PG/2003/23389,41610000,,82000590271
2124,BOCCIOFILA SAN ALVISE,14-04-03,50,,VENEZIA MURANO BURANO,Sport,"Promuovere e gestire attività culturali, ecc. valorizzando in particolare le iniziative che favoriscono le conoscenze musicali con radici etniche",Via Milano 62 30172 - Mestre - Venezia,,,Martella Alfio,22-01-01,PG/2001/11006,4186086,90093390277,0
2125,ASSOCIAZIONE SPORTIVA DILETTANTISTICA ARTE & FITNESS,14-04-03,50,,MESTRE CARPENEDO,Cultura,"Coordinare, sviluppare e diffondere il gioco delle bocce",Cannaregio 3163 - Bocciodromo Comunale San Alvise 30121 - Venezia,,,Parma Luciano,05-02-03,PG/2003/51286,,94036320276,0
2126,INDACO,14-04-03,50,,VENEZIA MURANO BURANO,Cultura,Divulgazione e promozione pratica dello sport - organizzare aggornamenti ecc. per approfondire le conoscenze sulla fisiologia del corpo umano nello sport,Via Francesco Scipione Fapanni 40 30174 - Mestre - Venezia,,,Rossi Claudia,03-03-03,PG/2003/90446,41974458,90091890278,0
2127,CITTADINI DI VIA SCARAMUZZA E DINTORNI,14-04-03,50,,CHIRIGNAGO ZELARINO,Cultura,"Organizzare e promuovere iniziative culturali, artistiche ecc.- diffondere la pratica della danza contemporanea",Santa Croce 1330/A 30135 - Venezia,,,Boato Laura,07-03-03,PG/2003/98478,,90105640271,0
2128,PARROCCHIA SAN ALVISE,14-04-03,50,,VENEZIA MURANO BURANO,Cultura,Promuovere attività di partecipazione sociale al fine di contribuire alla crescita civile e culturale degli associati,Via Capri 1 30174 - Mestre - Venezia,,,Bullin Flora,20-02-03,PG/2003/75933,,90105210273,0
2129,CARPINETUM 2003,14-04-03,50,,MESTRE CARPENEDO,Sport,,Cannaregio 3536 30121 - Venezia,,,Bertola Umberto,18-02-03,PG/2003/72093,,94012370279,0
2130,METROPOLIS,14-04-03,50,,MESTRE CARPENEDO,Cultura,"Esercizio di attività sportive ed in particolare formazione, preparazione e gestione di squadre di calcio",Via Benedetto Croce 19 30174 - Mestre - Venezia,,,Proia Federico,13-03-03,PG/2003/106665,,90105560271,0
